Data,Candidato,Rede,Seguidores,Posts,CrescimentoDiario
2026-08-04,Ronaldo Caiado,X,516117,0,-12
2026-08-05,Ronaldo Caiado,X,516129,0,12
2026-08-06,Ronaldo Caiado,X,516173,0,44
2026-08-07,Ronaldo Caiado,X,516164,0,-9
2026-07-30,Rui Costa Pimenta,Facebook,22823,0,0
2026-07-31,Rui Costa Pimenta,Facebook,22830,0,7
2026-08-03,Rui Costa Pimenta,Facebook,22855,0,25
2026-08-04,Rui Costa Pimenta,Facebook,22864,0,9
2026-08-05,Rui Costa Pimenta,Facebook,22870,2,6
2026-08-06,Rui Costa Pimenta,Facebook,22886,0,16
2026-08-07,Rui Costa Pimenta,Facebook,22924,0,38
2026-07-30,Rui Costa Pimenta,Instagram,14371,0,0
2026-07-31,Rui Costa Pimenta,Instagram,14408,0,37
2026-08-03,Rui Costa Pimenta,Instagram,14479,0,71
2026-08-04,Rui Costa Pimenta,Instagram,14495,0,16
2026-08-05,Rui Costa Pimenta,Instagram,14530,1,35
2026-08-06,Rui Costa Pimenta,Instagram,14568,0,38
2026-08-07,Rui Costa Pimenta,Instagram,14613,0,45
2026-07-31,Rui Costa Pimenta,X,47600,0,0
2026-08-03,Rui Costa Pimenta,X,47670,0,70
2026-08-04,Rui Costa Pimenta,X,47697,0,27
2026-08-05,Rui Costa Pimenta,X,47712,3,15
2026-08-07,Rui Costa Pimenta,X,47759,0,47
2026-07-31,Samara Martins,Facebook,1846,0,0
2026-08-03,Samara Martins,Facebook,1847,0,1
2026-08-04,Samara Martins,Facebook,1847,0,0
2026-08-05,Samara Martins,Facebook,1847,0,0
2026-08-06,Samara Martins,Facebook,1848,0,1
2026-08-07,Samara Martins,Facebook,1849,0,1
2026-07-30,Samara Martins,Instagram,92392,0,0
2026-07-31,Samara Martins,Instagram,93469,2,1077
2026-08-03,Samara Martins,Instagram,95892,1,2423
2026-08-04,Samara Martins,Instagram,96945,2,1053
2026-08-05,Samara Martins,Instagram,100791,2,3846
2026-08-06,Samara Martins,Instagram,102224,2,1433
2026-08-07,Samara Martins,Instagram,105442,0,3218
2026-08-03,Samara Martins,TikTok,764,0,0
2026-08-04,Samara Martins,TikTok,785,0,21
2026-08-05,Samara Martins,TikTok,797,0,12
2026-08-06,Samara Martins,TikTok,818,0,21
2026-08-07,Samara Martins,TikTok,843,0,25
2026-07-30,Samara Martins,X,2370,0,0
2026-07-31,Samara Martins,X,2371,0,1
2026-08-03,Samara Martins,X,2282,0,-89
2026-08-04,Samara Martins,X,2385,0,103
2026-08-05,Samara Martins,X,2385,0,0
2026-08-06,Samara Martins,X,2387,0,2
2026-08-07,Samara Martins,X,2396,0,9
